main_id,id,version,hip,tyc,ucac,twomass,sdss,allwise,gaia,apass,kic,objtype,typesrc,ra,dec,posflag,pmra,e_pmra,pmdec,e_pmdec,pmflag,plx,e_plx,parflag,gallong,gallat,eclong,eclat,bmag,e_bmag,vmag,e_vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag,twomflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,gaiamag,e_gaiamag,tmag,e_tmag,tessflag,spflag,teff,e_teff,logg,e_logg,mh,e_mh,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_ebv,epos_ebv,ebvflag,eneg_mass,epos_mass,eneg_rad,epos_rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_teff,epos_teff,teffflag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareflag,vmagflag,bmagflag,splists,e_ra,e_dec,ra_orig,dec_orig,e_ra_orig,e_dec_orig,raddflag,wdflag,objid,CCD,sector,otype,sp_type,sp_qual,nbref
BD-10  4457,146006911,20190415,,5648-00952-1,398-068851,17130191-1034418,,J171301.90-103441.9,4.143145394703406e+18,6460234.0,,STAR,tmgaia2,258.25794361834,-10.5783075068887,tmgaia2,-0.783312,0.197055,-2.3641,0.148152,gaia2,2.41853,0.12703,gaia2,11.5474928086174,16.2900890398688,258.181612158591,12.3805405067664,12.277,0.246,10.441,0.058,,,,,,,,,,,2.1,0.31,0.906,0.218,0.481,0.256,DDD-333-111-000-0-0,,-2.265,,-1.907,,-1.195,0.336,-2.632,0.002,6.63274,0.00903,4.7873,0.0125,rered,,,,,,,,,,,,,,,,,410.528,22.0265,0.544901,0.0185565,,,,,,0.0180969,0.0190161,panstarrs,,,,,,,,,,,20.867,23.186,bj2018,,,,10.1869,0.03776,5.01058,0.016657,1.0,,tycho2v,tycho2b,,3.0691695799955,2.29805391624434,258.257940187438,-10.5783176856527,0.10382146855672,0.0883228352689359,-1.0,0,1197738292,1,91,AB*,M7,D,23
*  83 Vir,290058791,20190415,67057.0,6123-00583-1,370-065805,13442982-1610445,,J134429.83-161044.6,3.605275331575431e+18,,,STAR,tmgaia2,206.124279190327,-16.1790732740209,tmgaia2,12.3578,0.180191,-5.94585,0.155234,gaia2,3.57142,0.0962504,gaia2,321.031386115754,44.819898773052,210.048988240683,-5.01606745774742,6.351,0.02,5.55,0.03,,,,,,,,,,,4.158,0.23,3.71,0.23,3.606,0.206,DDC-333-111-000-0-0,,3.588,0.382,3.31,0.244,3.577,0.013,3.494,0.022,5.33892,0.00254571,4.82627,0.0092,rered,spect,5544.0,89.4427,,,-0.03,0.0777817,23.6324,,,,,,GIANT,,,278.07,7.5065,0.0410516,0.01243895,,,,,,0.0164784,0.0083995,panstarrs,,,,,,,,,,,,,bj2018,,,spect,5.78033,0.002999,4.79366,0.013118,1.0,,hipvmag,tycho2b3,,2.82234064508363,2.40726187393377,206.124334591663,-16.1790988742157,0.0859476736804642,0.0739093334168846,0.0,0,866730069,4,91,*,G0II:,C,92
*  18 Lib,192622805,20190415,73310.0,5583-01006-1,395-059179,14585358-1108383,,J145853.52-110838.7,6.313611584502854e+18,6259668.0,,STAR,tmgaia2,224.723255360692,-11.1440161412983,tmgaia2,-105.336,0.152388,-63.2567,0.11629,gaia2,9.18177,0.0719443,gaia2,346.110041378264,40.8051669124086,225.537637634611,5.58395246518019,7.147,0.017,5.86298,0.023,,,,,,,,,,,4.061,0.29,3.387,0.236,3.264,0.268,DDD-333-111-00d-0-0,,3.073,0.486,2.91,0.3,3.099,0.007,3.02,0.019,5.50835,0.00255845,4.8294,0.0068,rered,gaia2,4576.0,122.0,,,,,13.5586,,,,,,GIANT,,,108.581,0.8545,0.0232535,0.0211036,,,,,,0.0149146,0.0272926,panstarrs,,,,,,,,,,,0.848,0.861,bj2018,,,dered,6.15287,0.002706,4.79649,0.003585,1.0,,sirful,tycho2b3,,2.37434793598264,1.80325795954273,224.722793114799,-11.1442884968902,0.0729121626893741,0.0524503920785936,0.0,0,938099757,2,91,PM*,K3-IIICN2,B,127
*  48 Lib,410627159,20190415,78207.0,5623-01368-1,379-072405,15581136-1416454,,J155811.36-141645.9,6.263223955904774e+18,,,STAR,tmgaia2,239.547372778567,-14.2793550586958,tmgaia2,-14.9158,0.494227,-16.4156,0.383368,gaia2,7.51734,0.253482,gaia2,356.38669059614,28.6316533725408,240.399418535191,6.08548650072472,4.852,0.022,4.82123,0.023,,,,,,,,,,,5.098,0.216,4.829,0.08,4.591,0.02,CAA-311-111-000-0-0,,,,3.776,0.163,3.292,0.013,2.464,0.022,4.76999,0.00616372,4.83002,0.0114,rered,gaia2,10746.0,261.0,3.52125,,,,4.79797,,2.788,,0.0252418,,DWARF,276.56497,,132.803,4.5135,0.0295748,0.02504195,,,,,,0.0208009,0.029283,panstarrs,,,,,,,,,,,4.363,4.664,bj2018,,,dered,4.7358,0.007457,4.77062,0.008688,1.0,,sirful,tycho2b3,,7.72392845827527,5.94458174378685,239.547306510383,-14.2794257369833,0.234009138445387,0.168118205284066,1.0,0,1019206501,1,91,Be*,B5IIIp_sh,C,445
HD 147647,203446203,20190415,,6214-01954-1,339-078709,16235227-2222079,,J162352.26-222207.6,6.051838481775647e+18,11498794.0,,STAR,tmgaia2,245.967780092657,-22.3687943472328,tmgaia2,-1.97127,0.324904,-1.83487,0.203278,gaia2,1.02511,0.131821,gaia2,354.264630083676,18.6949746519226,247.874355341575,-0.756534951316112,11.039,0.076,9.021,0.02,,,,,,,,,,,2.321,0.272,1.178,0.28,0.756,0.332,DDD-333-111-000-0-0,,-1.68,,-1.211,,0.177,0.101,-0.526,0.015,6.50035,0.00431226,4.8536,0.008,rered,gaia2,3014.0,122.0,,,,,,,,,,,,,,971.181,134.76,0.512966,0.011000205,,,,,,0.00852541,0.013475,panstarrs,,,,,,,,,,,116.672,152.849,bj2018,,,dered,9.20002,0.011722,5.0783,0.009065,1.0,,tycho2v,tycho2b,,5.1352240882463,3.15165131757708,245.967770914629,-22.3688022473678,0.132752187575844,0.0728606416686581,-1.0,0,1064954060,3,91,LP?,M4(III),D,13
HD 175156,351985764,20190415,92814.0,6281-02005-1,372-149187,18544312-1536109,,J185443.11-153610.7,4.1008725055524065e+18,,,STAR,tmgaia2,283.679639925313,-15.6030371391932,tmgaia2,-2.04343,0.460289,-6.57025,0.35446,gaia2,1.51306,0.352174,gaia2,19.3258439106334,-7.75377555444672,283.273068424422,7.20815367216858,5.21,0.022,5.08,0.03,,,,,,,,,,,4.691,0.212,4.687,0.016,4.573,0.02,CAA-311-111-000-0-0,,4.591,0.192,4.328,0.119,4.613,0.015,4.528,0.028,5.00661,0.00435693,4.85997,0.0092,rered,gaia2,8361.0,133.0,,,,,35.0329,,,,,,GIANT,,,715.565,305.906,0.111054,0.0576144,,,,,,0.0587187,0.0565101,panstarrs,,,,,,,,,,,192.467,419.345,bj2018,,,dered,5.12769,0.001985,4.81119,0.008655,1.0,,hipvmag,tycho2b3,,7.2052920466516,5.49927692441836,283.679630790581,-15.60306542777,0.244799718743787,0.237870205238547,0.0,0,1620248093,2,92,*,B3II,C,135
*  80 Vir,157837609,20190415,66320.0,4972-01455-1,424-058265,13353129-0523464,,J133531.31-052345.1,3.633360951653004e+18,3953786.0,,STAR,tmgaia2,203.880402784354,-5.39619103063063,tmgaia2,15.5606,0.197541,82.1577,0.163637,gaia2,9.73763,0.140902,gaia2,322.709419215526,55.7735722081921,204.098437632628,4.24583922815652,6.659,0.018,5.69946,0.023,,,,,,,,,,,4.221,0.274,3.68,0.224,3.649,0.292,DDD-333-111-000-0-0,,3.393,0.475,3.21,0.274,3.402,0.011,3.35,0.023,5.44117,0.00236337,4.86408,0.0074,rered,spect,4934.19,81.6895,,,-0.225335,0.00822456,10.5661,,,,,,GIANT,,,102.429,1.49,0.00901834,0.005657615,,,,,,0.00310731,0.00820792,panstarrs,,,,,,,,,,,,,bj2018,,,spect,5.95337,0.002904,4.82583,0.007423,1.0,,sirful,tycho2b3,,3.06809177691448,2.53757784032327,203.88047007962,-5.39583729609287,0.131250143351162,0.0781713770985354,0.0,0,857831580,2,91,PM*,K0III,C,56
*  30 Lib,294618524,20190415,75294.0,6171-00036-1,375-071779,15230178-1508023,,J152301.80-150802.1,6.259917518276507e+18,8757928.0,,STAR,tmgaia2,230.757414215161,-15.1340323879035,tmgaia2,5.62784,0.152239,18.3817,0.116768,gaia2,3.5195,0.0916849,gaia2,348.579607667154,33.9791106668835,232.288250519441,3.31637620339742,8.064,0.015,6.48147,0.023,,,,,,,,,,,3.727,0.266,2.744,0.238,2.546,0.306,DDD-333-111-000-0-0,,0.667,,0.971,,2.394,0.02,2.288,0.025,5.77477,0.00244412,4.86568,0.0066,rered,gaia2,3995.0,122.0,,,,,52.4705,,,,,,GIANT,,,282.146,7.362,0.103633,0.01366969,,,,,,0.0189938,0.00834558,panstarrs,,,,,,,,,,,7.173,7.551,bj2018,,,dered,6.74689,0.003184,4.83747,0.001846,1.0,,sirful,tycho2b3,,2.38184338269857,1.81058836361314,230.757439316718,-15.1339532444737,0.0819176848679794,0.0497768343239396,0.0,0,967308973,1,91,*,K4III,C,27
* ksi01 Sgr,442202726,20190415,93057.0,6294-01245-1,347-163848,18572048-2039230,,J185720.47-203922.8,4.085003803955277e+18,,,STAR,tmgaia2,284.335319915028,-20.6563533027491,tmgaia2,-1.00764,0.319102,-4.78235,0.31778,gaia2,1.61931,0.188377,gaia2,14.9854457762235,-10.5038901402452,283.405280894508,2.11830030899608,5.142,0.022,5.02,0.03,,,,,,,,,,,4.798,0.192,4.563,0.206,4.504,0.015,CCE-331-111-000-0-0,,4.505,0.247,4.187,0.116,4.487,0.015,4.416,0.031,4.9814,0.00601572,4.8685,0.0138,rered,gaia2,8679.0,150.0,,,,,28.8793,,,,,,GIANT,,,620.736,78.619,0.104496,0.013538155,,,,,,0.0195444,0.00753191,panstarrs,,,,,,,,,,,68.929,88.309,bj2018,,,dered,5.09359,0.003028,4.83405,0.011586,1.0,,hipvmag,tycho2b3,,5.02972093958374,4.92773126150068,284.33531527851,-20.6563738934229,0.14799586195022,0.145253356144117,0.0,0,1628525263,2,92,*,B9/A0Ib,D,52
* psi Sco,420895269,20190415,79375.0,5616-01294-1,400-063233,16115999-1003510,,J161159.98-100351.1,4.344947181887184e+18,,,STAR,tmgaia2,243.000043478355,-10.0641209126743,tmgaia2,-17.9999,0.677131,-36.1882,0.558282,gaia2,20.1801,0.261658,gaia2,2.5408363680771,28.8121097629882,242.9237351704,10.8733304125344,5.031,0.022,4.93736,0.023,,,,,,,,,,,4.959,0.206,4.89,0.076,4.632,0.016,CEA-311-111-d00-0-0,,4.679,0.232,4.433,0.108,4.687,0.015,4.607,0.035,4.92407,0.00497952,4.8704,0.0078,gbprp,spect,8650.0,133.003,4.13452,0.0708658,,,2.0845,0.0641608,2.16,0.32267,0.238476,0.0432839,DWARF,21.91618,1.1279,49.499,0.6461,0.0,0.0,174.0,0.0005966002,,,0.0026479422,0.0,0.0,,0.273432,0.371908,0.0618638,0.0664578,0.0353665,0.0512013,0.059007,0.0827245,1.04617,1.20963,0.6378,0.6544,bj2018,131.108,134.897,spect,4.97175,0.002762,4.83326,0.002629,1.0,,sirful,tycho2b3,,10.5388039881354,8.65532421697967,242.999964767648,-10.0642767229904,0.23688369594971,0.183868532908023,1.0,0,1043266181,4,91,*,A1V,C,100
HD 135207,432265150,20190415,74581.0,5593-00475-1,379-069247,15141882-1412340,,J151418.81-141234.3,6.308254798212227e+18,6279602.0,,STAR,tmgaia2,228.578369464648,-14.2094745993851,tmgaia2,-4.4347,0.176211,-20.3645,0.119642,gaia2,2.92804,0.0839242,gaia2,347.360701795121,36.0532422717421,230.008918089415,3.66596845149652,8.418,0.015,6.78407,0.023,,,,,,,,,,,3.529,0.25,2.62,0.222,2.323,0.242,DDD-333-111-000-0-0,,0.807,,0.932,,2.213,0.014,2.048,0.018,5.8866,0.00205381,4.8735,0.0067,rered,gaia2,3794.0,122.0,,,,,70.4558,,,,,,GIANT,,,338.647,9.71,0.0978518,0.005275015,,,,,,0.00652423,0.0040258,panstarrs,,,,,,,,,,,9.437,9.983,bj2018,,,dered,7.06304,0.01173,4.85159,0.004366,1.0,,sirful,tycho2b3,,2.75360853212255,1.8552793404594,228.578349768183,-14.2095622798722,0.0814202086408714,0.0554339222358372,0.0,0,956203731,1,91,V*,M2III,C,18
HD 139254,70697078,20190415,76532.0,6777-01625-1,335-078523,15374802-2308300,,J153748.03-230830.8,6.239382008325929e+18,,,STAR,tmgaia2,234.450176125789,-23.1417026092095,tmgaia2,-31.4108,0.172771,-81.2375,0.136143,gaia2,10.217,0.0951634,gaia2,345.550573062218,25.6494198490461,237.609188544439,-3.61099574003961,6.855,0.018,5.79,0.03,,,,,,,,,,,4.114,0.24,3.468,0.202,3.437,0.278,DCD-333-111-00d-0-0,,3.345,0.463,3.082,0.338,3.292,0.013,3.239,0.024,5.49643,0.00204482,4.8775,0.0063,gbprp,spect,4707.02,5.98923,,,0.24,0.1,11.0051,,,,,,GIANT,,,97.6157,0.91375,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.05631,0.003022,4.83362,0.003073,1.0,,hipvmag,tycho2b3,,2.73474672775905,2.11107974930453,234.450029050535,-23.14205238185,0.0824314425155368,0.06036581028546,0.0,0,986723746,2,91,HB*,K0III,C,50
* del Lib,192680424,20190415,73473.0,5579-01166-1,408-061855,15005835-0831082,,J150058.29-083108.1,6.332277920392457e+18,4029510.0,,STAR,tmgaia2,225.243107432621,-8.51895747705093,tmgaia2,-60.564,0.552037,-3.6506,0.457123,gaia2,8.32816,0.334314,gaia2,348.867152768596,42.5114754887596,225.282888870075,8.24652747223209,4.973,0.022,4.91377,0.023,,,,,,,,,,,4.715,0.037,4.714,0.24,4.622,0.026,EDA-131-111-0d0-0-0,,4.602,0.176,4.405,0.082,4.681,0.015,4.584,0.025,4.90169,0.00642727,4.8787,0.0137,rered,spect,10375.0,120.54,3.62536,0.0726418,,,4.16729,0.195196,2.673,0.344137,0.036935,0.00738626,DWARF,181.28172,17.45225,120.021,4.866,0.0166503,0.007607155,90.0,0.0016526908,,,0.00093127973,0.00987867,0.00533564,panstarrs,0.258075,0.430198,0.210203,0.180189,0.00622856,0.00854395,0.0625908,0.0826929,13.7503,21.1542,4.673,5.059,bj2018,118.481,122.599,spect,4.93399,0.007705,4.8414,0.015059,1.0,,sirful,tycho2b3,,8.58447585726175,7.08940855934412,225.242843761847,-8.51897319500105,0.268576646249201,0.238177352112606,1.0,0,940290991,2,91,SB*,A0V,C,300
HD 176884,442402963,20190415,93537.0,6290-02062-1,354-166253,19030380-1914445,,J190303.82-191443.8,4.085573076107141e+18,,,STAR,tmgaia2,285.765855249716,-19.2456840443851,tmgaia2,2.78105,0.121879,-10.3522,0.111562,gaia2,3.14466,0.0651846,gaia2,16.8669693213816,-11.122382691109,284.890336184147,3.38233978942017,7.259,0.017,5.96,0.03,,,,,,,,,,,4.014,0.276,3.388,0.222,3.179,0.314,DDD-333-111-0dd-0-0,,2.336,,2.092,0.297,2.922,0.012,2.896,0.021,5.60432,0.00232174,4.87916,0.0067,rered,gaia2,4593.0,122.0,,,,,41.0471,,,,,,GIANT,,,315.338,6.5355,0.0998362,0.0200035,,,,,,0.0199815,0.0200255,panstarrs,,,,,,,,,,,6.402,6.669,bj2018,,,dered,6.28749,0.002309,4.84089,0.00369,1.0,,hipvmag,tycho2b3,,1.9171106339593,1.73032045082222,285.765867932472,-19.2457286163581,0.0627020792365966,0.0619530468387135,0.0,0,1642204841,2,92,*,K0II/III,D,23
V* V4389 Sgr,127164591,20190415,89662.0,6852-03736-1,314-181152,18175162-2721172,,J181751.59-272116.9,4.052343253423302e+18,,,STAR,tmgaia2,274.465087962341,-27.3547365048079,tmgaia2,0.738844,0.150443,-4.89462,0.125719,gaia2,1.06259,0.0892691,gaia2,4.88730454999411,-5.40103641216686,273.974534550754,-3.97703824535725,9.131,0.026,7.21,0.03,,,,,,,,,,,3.021,0.254,2.053,0.202,1.813,0.24,DCD-333-111-000-0-0,,-0.951,,0.147,,1.612,0.023,1.48,0.013,6.03376,0.00271863,4.88086,0.0071,rered,gaia2,3505.0,122.0,,,,,236.13,,,,,,GIANT,,,925.88,79.2005,0.104543,0.02205805,,,,,,0.0227105,0.0214056,panstarrs,,,,,,,,,,,72.581,85.82,bj2018,,,dered,7.53941,0.009335,4.87794,0.002334,1.0,,hipvmag,tycho2b,,2.40121598675013,1.95000976321516,274.465091543978,-27.3547575788665,0.0788123395883486,0.0729567629092047,0.0,0,1473219709,3,91,LP*,M1/2III,D,14
HD 139329,70750382,20190415,76569.0,6197-00364-1,345-076716,15381626-2100587,,J153816.35-210059.4,6.241414902246114e+18,,,STAR,tmgaia2,234.567859086205,-21.0163239951285,tmgaia2,60.4428,0.238807,-60.3607,0.230649,gaia2,9.8931,0.127097,gaia2,347.209371627562,27.1732960088889,237.223519878978,-1.51798384170768,6.892,0.018,5.82,0.03,,,,,,,,,,,4.093,0.248,3.476,0.21,3.302,0.252,DCD-333-111-000-0-0,,3.283,0.394,3.075,0.284,3.265,0.012,3.192,0.02,5.51482,0.00268107,4.88427,0.0068,rered,spect,4690.0,12.0,,,,,11.9116,,,,,,GIANT,,,100.817,1.3021,0.0361996,0.0368907,,,,,,0.0288434,0.044938,panstarrs,,,,,,,,,,,,,bj2018,,,spect,6.08364,0.003309,4.84128,0.002281,1.0,,hipvmag,tycho2b3,,3.76676386788647,3.57666529269755,234.568137871303,-21.0165838817049,0.126252093356558,0.107164301178006,0.0,0,988210576,2,91,HB*,K0III,C,39
* i Sco,323120504,20190415,80815.0,6799-00932-1,325-085045,16301246-2506548,,J163012.47-250655.0,6.0460508243646e+18,,,STAR,tmgaia2,247.551977140414,-25.1152255267723,tmgaia2,-3.46445,0.761175,-26.0358,0.623584,gaia2,8.56024,0.372255,gaia2,353.098183955684,15.7959375649127,249.738955503849,-3.24111224586488,4.649,0.021,4.79,0.03,,,,,,,,,,,5.033,0.264,5.121,0.024,5.094,0.017,DAA-311-111-000-0-0,,5.171,0.175,5.027,0.07,5.268,0.016,5.03,0.035,4.75512,0.00375424,4.90425,0.0077,rered,,14358.0,217.0,,,,,,,,,,,,,,116.851,5.139,0.0145398,0.00602495,,,,,,0.00332572,0.00872418,panstarrs,,,,,,,,,,,4.917,5.361,bj2018,,,dered,4.68874,0.002471,4.8636,0.003984,1.0,,hipvmag,tycho2b3,,12.0918464395316,9.66920934331567,247.551960666525,-25.1153376253575,0.328643518285673,0.265920777975386,-1.0,0,1077455312,3,91,*,B2.5V,C,318
*  18 Sco,135656809,20190415,79672.0,5613-01378-1,409-063866,16153726-0822096,,,4.3457752172218214e+18,,,STAR,tmgaia2,243.90529322864,-8.36943947035461,tmgaia2,232.159,0.181221,-495.368,0.147056,gaia2,70.7675,0.111919,gaia2,4.69521361972222,29.1570087422163,243.50695937817,12.7021038138098,6.147,0.021,5.49518,0.023,,,,,,,,,,,4.667,0.26,4.162,0.178,4.186,0.292,DCD-333-111-d0d-0-0,,,,,,,,,,5.33132,0.00248026,4.9069,0.0065,gbprp,spect,5791.0,105.156,4.42175,0.0695371,0.04,0.1,1.03914,0.0409498,1.04,0.132143,0.92686,0.175764,DWARF,1.0940951,0.0284997,14.1251,0.0225,0.0,0.0,144.0,0.0013733666,,,0.0075418577,0.0,0.0,,0.140995,0.123291,0.0409246,0.0409749,0.145418,0.206109,0.0618391,0.0772351,0.0196783,0.0373211,0.0225,0.0225,bj2018,92.8669,117.445,spect,5.67455,0.00233,4.86644,0.003485,1.0,,sirful,tycho2b3,,2.81807551374233,2.28036956169204,243.906303562059,-8.3715723060983,0.0960541030481751,0.0675785355535078,1.0,0,1049772639,4,91,PM*,G2Va,B,644
* zet03 Lib,335328974,20190415,75944.0,6184-01358-1,367-068559,15304040-1636341,,J153040.42-163634.0,6.258582505008556e+18,8769551.0,,STAR,tmgaia2,232.668338023173,-16.6094619768331,tmgaia2,22.8245,0.158032,-1.86773,0.123916,gaia2,6.50765,0.0720127,gaia2,349.048142276804,31.6552885554282,234.436143755352,2.34013488135685,6.86,0.018,5.82,0.03,,,,,,,,,,,4.21,0.248,3.607,0.21,3.495,0.212,DCC-333-111-000-0-0,,3.374,0.363,3.149,0.319,3.352,0.013,3.309,0.019,5.52581,0.00172127,4.90767,0.0064,rered,gaia2,5002.0,122.0,,,,,15.969,,,,,,GIANT,,,153.019,1.699,0.0770749,0.0186694,,,,,,0.0196484,0.0176904,panstarrs,,,,,,,,,,,1.681,1.717,bj2018,,,dered,6.06793,0.001443,4.85976,0.002414,1.0,,hipvmag,tycho2b3,,2.47640448920948,1.92142386271375,232.66844057423,-16.6094700184736,0.0686053818591794,0.0528095919492344,0.0,0,976910780,1,91,*,K0III,C,28
HD 148604,413938133,20190415,80793.0,5639-01020-1,378-077644,16294693-1433031,,J162946.95-143303.0,4.325706656113784e+18,,,STAR,tmgaia2,247.445492332395,-14.5507953850428,tmgaia2,39.7205,0.403684,-6.5763,0.278228,gaia2,8.08405,0.183106,gaia2,1.64616475069334,22.620643753414,248.025282531492,7.18443840299155,6.481,0.019,5.67204,0.023,,,,,,,,,,,4.604,0.226,3.995,0.174,3.812,0.264,DCD-333-111-000-0-0,,3.597,0.306,3.384,0.207,3.613,0.016,3.575,0.023,5.43691,0.00175021,4.91393,0.0064,rered,spect,5110.0,4.0,,,,,11.9934,,,,,,GIANT,,,123.38,2.811,0.030644,0.0902371,,,,,,0.0209532,0.159521,panstarrs,,,,,,,,,,,,,bj2018,,,spect,5.8741,0.001613,4.86526,0.00234,1.0,,sirful,tycho2b3,,6.30996741418636,4.31369474866191,247.445669018368,-14.5508236997343,0.161986118142822,0.100064396651886,0.0,0,1076698002,4,91,*,G5III/IV,D,66
HD 196857,409100858,20190415,102026.0,6331-01979-1,370-182586,20403252-1607268,,J204032.52-160726.2,6.863070805129542e+18,9928989.0,,STAR,tmgaia2,310.135494632571,-16.1241759083137,tmgaia2,-67.5577,0.142528,75.0657,0.0984487,gaia2,10.2311,0.0826093,gaia2,29.8200092260046,-31.2285358771357,308.292221721167,2.1400991367547,6.778,0.019,5.79,0.03,,,,,,,,,,,4.019,0.284,3.375,0.256,3.318,0.344,DDD-333-111-00d-0-0,,3.476,0.449,3.163,0.336,3.397,0.014,3.372,0.023,5.51795,0.00160703,4.9205,0.0062,gbprp,gaia2,4856.0,122.0,,,,,10.0048,,,,,,GIANT,,,97.477,0.7909,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.7846,0.7972,bj2018,,,dered0,6.04123,0.001334,4.86708,0.002319,1.0,,hipvmag,tycho2b3,,2.23226234943867,1.52667711051595,310.135191848224,-16.1238527089828,0.0677116277204904,0.046955250343479,0.0,0,1706926082,2,92,PM*,K0III,C,26
HD 141274,71114698,20190415,,6194-01223-1,348-078562,15485491-2026551,,J154854.91-202655.0,6.241683870278681e+18,,,STAR,tmgaia2,237.228790360618,-20.448609837098,tmgaia2,-11.432,0.275091,-4.02734,0.193743,gaia2,1.79365,0.101668,gaia2,349.682590479069,25.9005182795557,239.523157421623,-0.409543514240996,9.386,0.021,7.772,0.004,,,,,,,,,,,2.975,0.278,2.085,0.228,1.729,0.252,DDD-333-111-000-0-0,,-0.666,,0.038,,1.516,0.02,1.376,0.014,6.19649,0.00264484,4.9223,0.007,rered,gaia2,3295.0,122.0,,,,,,,,,,,,,,551.533,31.8335,0.162288,0.007701725,,,,,,0.0091036,0.00629985,panstarrs,,,,,,,,,,,30.032,33.635,bj2018,,,dered,7.98775,0.011497,4.94148,0.004008,1.0,,tycho2v3,tycho2b3,,4.33398432895953,3.00391609485124,237.228737829294,-20.4486271770421,0.104985996732875,0.073510581782762,-1.0,0,1003212395,2,91,*,M3/4III,D,5
V* RS Lib,428917148,20190415,75393.0,6763-00115-1,336-075423,15241977-2254397,,J152419.80-225439.9,6.251268210055713e+18,11391200.0,,STAR,tmgaia2,231.082462318305,-22.9110616811031,tmgaia2,17.704,0.556174,-15.5075,0.447788,gaia2,3.49217,0.312154,gaia2,343.04671544151,27.8079117983339,234.53872456384,-4.13474351761555,11.752,0.867,8.47,0.03,,,,,,,,,,,1.001,0.23,-0.105,0.27,-0.598,0.324,DDD-333-111-000-0-0,,-1.439,,-2.249,,-1.175,0.45,-2.223,0.002,7.61683,0.098355,4.927,0.43,vjk,gaia2,,,,,,,,,,,,,,,,288.132,27.3685,0.0906826,0.004638375,,,,,,0.0044522,0.00482455,schlegel,,,,,,,,,,,24.825,29.912,bj2018,,,,,0.0,,0.0,-1.0,,hipvmag,apassdr9,,8.80062051363609,6.94421536806685,231.082545072302,-22.9111284495275,0.287505820577901,0.220490925663278,-1.0,-1,968675123,2,91,Mi*,M7-8e,B,126
* rho02 Sgr,12382232,20190415,95188.0,6301-02322-1,359-187923,19215088-1818299,,J192150.98-181831.3,4.084373371472125e+18,,,STAR,tmgaia2,290.462064728587,-18.3083900099053,tmgaia2,102.302,0.120456,-92.9091,0.103695,gaia2,10.6584,0.0683652,gaia2,19.640640665114,-14.7750619854688,289.427111334994,3.7615084994026,6.908,0.018,5.84,0.03,,,,,,,,,,,3.913,0.228,3.305,0.192,3.257,0.258,DCD-333-111-000-0-0,,3.413,0.426,3.105,0.18,3.334,0.014,3.261,0.02,5.54905,0.00173704,4.9294,0.0062,gbprp,gaia2,4755.0,122.0,,,,,10.0162,,,,,,GIANT,,,93.5756,0.6032,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.5994,0.607,bj2018,,,dered0,6.11075,0.003255,4.88635,0.00351,1.0,,hipvmag,tycho2b3,,1.89219316760524,1.60821594085309,290.462528681046,-18.3087900357604,0.0626637456558855,0.0550783365556237,0.0,0,1670427424,3,92,PM*,K0III,C,27
HD 198431,261346414,20190415,102891.0,5765-02132-1,388-142104,20504177-1232415,,J205041.86-123242.3,6.888166981940008e+18,7259378.0,,STAR,tmgaia2,312.674069304556,-12.5449039534103,tmgaia2,125.773,0.139817,-70.6561,0.0952311,gaia2,11.5905,0.080932,gaia2,34.8248527120237,-32.0713711341593,311.614546240881,4.94449589592388,6.95,0.018,5.8681,0.023,,,,,,,,,,,4.264,0.288,3.608,0.25,3.555,0.196,DDC-333-111-0d0-0-0,,3.299,0.515,3.042,0.426,3.303,0.022,3.246,0.022,5.56112,0.00161617,4.9335,0.0062,gbprp,spect,4528.78,6.89307,,,-0.0712264,0.0437079,10.4983,,,,,,GIANT,,,86.0703,0.6041,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.12598,0.001408,4.8835,0.001809,1.0,,sirful,tycho2b3,,2.18128915782571,1.47677408898906,312.674624071666,-12.5452081677461,0.0684217200185695,0.0452049950476309,0.0,0,1708981745,1,92,PM*,K1III,C,38
